ordem,arquivo,xOff,yOff,xSize,ySize
1,19_771.ecw,0,1271331.40996814,3226,15462
2,20_770.ecw,12971.8253062272,1288134.32368194,30254,16715
3,20_771.ecw,3225.2497643528,1248134.32368297,40001,40001
4,20_772.ecw,8431.7112141588,1208134.32368424,34794,40001
5,20_773.ecw,14534.72878954,1168134.32368594,28691,40001
6,20_774.ecw,15976.4590035024,1128134.32368654,27249,40001
7,20_775.ecw,5406.36087858398,1088134.32368723,37819,40001
8,20_776.ecw,9888.60070435156,1048134.32369044,33337,40000
9,20_777.ecw,42561.4852535872,1043506.50264715,664,4628
10,21_767.ecw,62129.7633231488,1408134.32368181,21096,38754
11,21_768.ecw,64636.4944730916,1368134.32368305,18589,40000
12,21_769.ecw,57634.3683042,1328134.32368361,25591,40001
13,21_770.ecw,43225.2498662048,1288134.32368388,40001,40001
14,21_771.ecw,43225.249867752,1248134.32368498,40001,40001
15,21_772.ecw,43225.2498721492,1208134.32368608,40001,40001
16,21_773.ecw,43225.249876512,1168134.32368717,40001,40001
17,21_774.ecw,43225.2498808388,1128134.32368828,40001,40001
18,21_775.ecw,43225.2498851313,1088134.32368938,40001,40001
19,21_776.ecw,43225.2498893868,1048134.32369049,40001,40001
20,21_777.ecw,43225.2498936104,1030933.67885215,40001,17201
21,22_766.ecw,87769.0983945325,1448134.32368186,35457,11051
22,22_767.ecw,83225.2499381721,1408134.32368273,40001,40001
23,22_768.ecw,83225.2499414112,1368134.32368382,40001,40001
24,22_769.ecw,83225.2499449472,1328134.32368491,40001,40001
25,22_770.ecw,83225.2499484568,1288134.323686,40001,40001
26,22_771.ecw,83225.2499519361,1248134.32368709,40001,40001
27,22_772.ecw,83225.2499553888,1208134.32368818,40001,40001
28,22_773.ecw,83225.2499588116,1168134.32368928,40001,40001
29,22_774.ecw,83225.2499622076,1128134.32369038,40001,40001
30,22_775.ecw,83225.2499655773,1088134.32369148,40001,40001
31,22_776.ecw,83225.2499689161,1048134.32369258,40001,40001
32,22_777.ecw,83225.2499722256,1030387.68514818,40001,17747
33,23_766.ecw,123225.250008227,1448134.32368334,40001,23882
34,23_767.ecw,123225.250008882,1408134.32368442,40001,40001
35,23_768.ecw,123225.250011658,1368134.3236855,40001,40001
36,23_769.ecw,123225.25001441,1328134.32368658,40001,40001
37,23_770.ecw,123225.250017142,1288134.32368767,40001,40001
38,23_771.ecw,123225.25001985,1248134.32368875,40001,40001
39,23_772.ecw,123225.250022536,1208134.32368985,40001,40001
40,23_773.ecw,123225.2500252,1168134.32369094,40001,40001
41,23_774.ecw,123225.250027843,1128134.32369203,40001,40001
42,23_775.ecw,123225.250030464,1088134.32369313,40001,40001
43,23_776.ecw,123225.250033062,1048134.32369423,40001,40001
44,23_777.ecw,123225.250035646,1029844.64701566,40001,18290
45,24_766.ecw,163225.250064572,1448134.32368466,40001,35893
46,24_767.ecw,163225.250065741,1408134.32368573,40001,40000
47,24_768.ecw,163225.250067882,1368134.32368682,40001,40000
48,24_769.ecw,163225.250070005,1328134.3236879,40001,40000
49,24_770.ecw,163225.250072111,1288134.32368898,40001,40000
50,24_771.ecw,163225.250074198,1248134.32369007,40001,40000
51,24_772.ecw,163225.250076271,1208134.32369116,40001,40000
52,24_773.ecw,163225.250078326,1168134.32369224,40001,40000
53,24_774.ecw,163225.250080366,1128134.32369334,40001,40000
54,24_775.ecw,163225.250082387,1088134.32369444,40001,40000
55,24_776.ecw,163225.250084392,1048134.32369553,40001,40000
56,24_777.ecw,163225.250086387,1022353.77045493,40001,25781
57,25_766.ecw,203225.25010964,1448134.32368569,40001,38585
58,25_767.ecw,203225.250110861,1408134.32368676,40001,40000
59,25_768.ecw,203225.250112497,1368134.32368784,40001,40000
60,25_769.ecw,203225.250114118,1328134.32368892,40001,40000
61,25_770.ecw,203225.250115728,1288134.32369,40001,40000
62,25_771.ecw,203225.250117325,1248134.32369109,40001,40000
63,25_772.ecw,203225.250118906,1208134.32369218,40001,40000
64,25_773.ecw,203225.250120476,1168134.32369327,40001,40000
65,25_774.ecw,203225.250122035,1128134.32369436,40001,40000
66,25_775.ecw,203225.25012358,1088134.32369545,40001,40000
67,25_776.ecw,203225.250125112,1048134.32369655,40001,40000
68,25_777.ecw,203225.250126632,1008134.32369779,40001,40000
69,25_778.ecw,210009.438032204,968134.323699132,33216,40000
70,25_779.ecw,222343.776696527,928134.323700365,20882,40000
71,25_780.ecw,229354.757744505,908653.903779224,13871,19481
72,26_765.ecw,275303.19204499,1488134.32368591,7923,3843
73,26_765A.ecw,275303.192044988,1488134.32368591,7923,3843
